,SA,Saudia_Arabia,singapore,Spain,srilanka,sweden,switzerland,taiwan,tanzania,thailand,Togo,Turkey,UAE,uganda,ukraine,uruguay,US,uzbekistan,Venezuela,Vietnam,Yemen,zambia,zimbabwe
75,Mayo Clinic,Tabuk Pharmaceuticals Manufacturing Company,Houston Methodist,CLÍNICA CORACHAN,Wayamba Diagnostic Medical Laboratory,Nora Turistbyrå,Cochlear Limited,,,DC one the Dental Clinic,,Novakim,Hamad Medical,Kampala Independent Hospital,PharmUnion,,,,,Gedeon Richter Rep. Office in Vietnam,,,Heritage Health Fund
76,Atrium Health,AJA Pharma,Aria ? Jefferson Health,Dentoestetic Centro De Salud Y Estetica Dental SLU,Burnshield,Global Health Partner,Edwards Lifesciences,,,Siemens Healthineers,,Onko Koçsel Pharmaceuticals,Mayo Clinic,Tick Bedside Nursing Care,Nikopharm,,,,,Gralimex,,,Sybay Health
77,UnitedHealth Group,Innovative Care Company,NHS,0,Singha Holdings pvt,Torsås,Exact Sciences,,,Cleveland Clinic,,TEKNOMEK Medikal,Cure.Fit,J1010 Hospital,Uct,,,,,"BIO-TECHEM CO., LTD",,,Avongreen Medical Supplies
78,0,Northgate Public Services - Om Experts,St. Luke's Hospital (MO),Hospital Maritimo,Kandana Food & Drugs,NHS Norrköpings Högtrycksspolning,Geneva,,,CHRISTUS Health,,Dental Plus,Omega Healthcare,Wentz Medical Center,The Parents Life Agency,,,,,Vabiotech,,,Shiron Medical (Pvt) Ltd
79,Netcare,OLKAR Animal Health,0,Grupo Recoletas,Macromed,Orexo,Incyte,,,Mölnlycke,,Skin Health Turkey,0,MAWANO Dental Clinic,Spectrum Info,,,,,Nha Khoa Uy Tn,,,
80,Siemens Healthineers,Al Mofadaly Trading,RAFFLES MEDICAL GROUP,Hospital Comarcal de Laredo,Euro Asian Pharma Pvt,Medical Products Agency,Intuitive Surgical,,,0,,DoktorTakvimi,Mölnlycke,Nkozi Hospital,Liqberry,,,,,Thien Duoc,,,
81,Mediclinic International,SH Medical Center (SHMC),INTERNATIONAL SOS,PharmaMar,Seregen,Sorsele,Aubonne,,,Takara IVF Bangkok,,Oncotech,South Georgia Medical Center,St. Catherine's Hospital,IMESC,,,,,VIMEC,,,
82,Abbott,Align Sports Company,SINGAPORE GENERAL HOSPITAL,Mutua Balear,Axero Associates Pvt,HemoCue,Medtronic,,,Nittan,,Polifarma,DaVita,Health Child,Medtekhnika,,,,,Nha Khoa Nhân Tâm,,,
83,Life Healthcare,ARTAT Enterprise,RAFFLES HOSPITAL,Hospital Universitario Central de Asturias,0,0,Tolochenaz,,,Umeda,,Voonka,Badr Al Samaa Group of Hospitals,St. Francis Hospital Nsambya,Rikota,,,,,Pharmacity,,,
84,Philips,Fast Fit EMS,TAN TOCK SENG HOSPITAL,VISIONLAB,eChannelling,,Novo Nordisk,,,CPAC Asia Imaging Products,,RAKYATKU.COM - Federasi Sepak Bola Internasional,Medigo,Kampala Hospital,Kiev Optical Group,,,,,DHG Pharmaceutical Joint Stock Company,,,
85,Metropolitan Health Group,International Medical Center (IMC),KK WOMEN'S AND CHILDREN'S HOSPITAL,Atenzia,Hayleys Agro Biotech,Glucox Biotech,Nidau,,,Polipharm,,Kardinero,Lifeline Hospital,UMC Hospitals,Megacom,,,,,Ha Tay Pharmaceutical Joint Stock,,,
86,GE Healthcare,Bader Sultan & Bros. Company (BSBC),ALEXANDRA HEALTH,Ferrer Alimentación,Astron,Grespo,Takeda Pharmaceutical,,,Bayer Thai,,Vompharma Pharmaceutical Warehouse,Magrabi Hospitals & Centers,Matany Hospital,Venta Lab,,,,,DOHAPHARMA CO.,,,
87,B. Braun,Fisher & Paykel Healthcare - Adcorp - New Zealand,NATIONAL CANCER CENTRE OF SINGAPORE,Creu Blanca Tarradellas,ABC PHARMA SERVICES,Inorbit Therapeutics,GlaxoSmithKline,,,Dhevee Greens,,Plasma Plastik,Iris Health Services,Mengo Hospital,Sona-Pharm,,,,,Brawn Laboratories,,,
88,Sime Darby,MENA Marketing,SINGAPORE NATIONAL EYE CENTRE,3P Biopharmaceuticals,Citihealth Imports,Avia Pharma,Merck Group,,,BIC CHEMICAL,,0,National Power Training Institute,Basil's Dental Clinic,Pharmaxi,,,,,PYMEPHARCO,,,
89,0,Dr. Soliman Fakeeh Hospital,CHANGI GENERAL HOSPITAL,Centro Neurológico Antonio Alayón,Suvika Fertility Centre,Scandinavian Development Services,Numab,,,Erawadee,,Roche,Social Service Coordinators,Kisubi Hospital,Empirica,,,,,Nht Tr Pharma,,,
90,1. BestMed Medical Scheme,Allergan Scientific Office,RAFFLES MEDICAL GROUP,Hospital Regional Universitario de Málaga,FARMCHEMIE,Sedana Medical,66,,,Osoth Inter Laboratories,,Bayer,0,Nakasero Hospital,0,,,,,Domesco Medical Import Export Joint Stock,,,
91,2. Platinum Health,Advanced Medicine Center,INTERNATIONAL SOS,LABORATORIOS VIÑAS,Shivam Medisoft Services Pvt,Albireo Pharma,One Drop Diagnostics,,,Thai Otsuka Pharmaceutical,,Novartis,Other related lists:,St. Mary's Hospital Lacor,UTOR,,,,,Mundipharma,,,
92,3. Professional Medical Scheme Administrators (PMSA),BioBarica,SINGAPORE GENERAL HOSPITAL,Salvat,Aichi Lanka,Elicera Therapeutics,67,,,Cryoviva,,Pfizer,Julphar,St. Joseph's Hospital Kitgum,RockLab,,,,,Eurofins Viet Nam,,,
93,4. Life Healthcare,Axios International Consultancy,RAFFLES HOSPITAL,Fundación Hospital Calahorra,Digital Health PVT,Xvivo Perfusion,Paragon Medical,,,Omroom,,Johnson & Johnson,Oasis Hospital,,SEOTM,,,,,Kim Dental,,,
94,5. Netcare Limited,0,TAN TOCK SENG HOSPITAL,Clínica Sant Antoni,OMACX Healthcare,Alzinova,68,,,Psychological Services International,,Amgen,Dubai Herbal and Treatment Centre (DHTC),,Agilites,,,,,OPC Pharmaceutical Join-Stock,,,
95,6. Smiths Medical,Dallah Hospital,KK WOMEN'S AND CHILDREN'S HOSPITAL,Hospital de Barcelona,MyDoctor LK,Cellink,PharmaLex,,,Stem Cells 21,,Abdi Ibrahim Ilac,Dr Joy Dental Clinic,,Mind Studios,,,,,Nanogen Pharmaceutical Biotechnology,,,
96,7. National health Laboratory Service,Gulf Health Council,ALEXANDRA HEALTH,PALEX MEDICAL,TMI Solutions,Getinge,69,,,Greater Pharma,,Sanofi,American Hospital Dubai,,Active Bridge,,,,,Ben Tre Pharmaceutical JSC,,,
97,8. Fedhealth Medical Scheme,Magrabi Hospitals,NATIONAL CANCER CENTRE OF SINGAPORE,H. San Francisco de Asis,Tabrane Lanka,IRLAB Therapeutics,Preclin Biosystems,,,AndaLab,,GlaxoSmithKline,Elite Plastic & Cosmetic Surgery Group,,Rademade,,,,,VietValues,,,
98,9. Johnson & Johnson South Africa,Saudi German Hospital,SINGAPORE NATIONAL EYE CENTRE,0,Credence Genomics,Isofol Medical,70,,,Cosmic Concord,,IQVIA,Furless Hair Removal Centre,,Frontmen,,,,,Jade Spa,,,
99,10. Legacy Group,act,CHANGI GENERAL HOSPITAL,Hospital Clínica Benidorm,Gangula Weda Medura,Navamedic,PregLem,,,Thai Nakorn Patana,,0,CCM Group - Greece,,Facility,,,,,Vando.vn - Thin ng Ph Kin,,,
100,11. Mediclinic,al ahsa hospital,RAFFLES MEDICAL GROUP,Asistencia Sanitaria Malagueña,Mediquipment,Oblique Therapeutics,71,,,Bangkok Hospital Chiang Rai,,Private,The City Hospital,,Diversido,,,,,American Vietnamese Biotech Incorporation,,,
101,12. Medihelp,al marfa medical,INTERNATIONAL SOS,Hospital Perpetuo Socorro Cartagena,CEYGEN BIOTECH,Stayble Therapeutics,Primex Pharmaceuticals,,,0,,i2i Population Health,Crown Health Services,,QArea,,,,,Nha Khoa Uy Tn Hàng u,,,
102,13. Occupational Care South Africa (OCSA),back comfort,SINGAPORE GENERAL HOSPITAL,Catalan Health Service,Daytona,Toleranzia,72,,,NA Caltechnologies,,0,Managers 4 Health,,Tallium Inc,,,,,Lamdong Pharmaceutical JSC,,,
103,14. Ortho Sol Development (Pty) Ltd,bupa cromwell hospital,RAFFLES HOSPITAL,Gp-Grup,Pharmace Pvt,Devyser,ProteoMediX,,,Andaman Medical,,MyCRO,IRIS Health Services,,MLSDev,,,,,Cng Ty TNHH TM DV TB XD Tn Kin To,,,
104,15. Polmed,daVita,TAN TOCK SENG HOSPITAL,Laboratorios Perez Gimenez S,,AcuCort,73,,,GOODBAAN CHIANGMAI,,Kardiosis,Integrated Gulf Biosystems (IGB),,Inoxoft,,,,,Bidiphar,,,
105,16. Proper Group Limited,dr sulaiman al habib medical group,0,AT4 wireless,,Glactone Pharma,Recipharm,,,The Cabin Chiang Mai,,Papsi Veteriner Poliklinii,International Private Hospital,,S-PRO,,,,,Phng Khm Sn Ph Khoa Ana,,,
106,17. Symington and Partners Radiology,new safa makkah polyclinic,Dental Injury Center,Clinicas Guang An Men,,Recipharm,74,,,Dr. Falk Pharma,,ChemBio Laboratory Research,Welcare Hospital,,Noltic,,,,,ITS GROUP. All Rights Reserved,,,
107,18. Unihealth,octapharma,Northeast Medical Group,Labiana,,AlzeCure Pharma,Roche,,,N Health Pathology,,Prof Dr Mustafa Karahan,Al Mazroui Medical Group,,Brainence,,,,,TNT Medical,,,
108,0,salamatek medical center,The Animal Clinic,Ambulancias AMBERNE,,Medivir,75,,,TION BIOTECH,,Implament,Kaya Skin Clinic,,PNN Soft,,,,,CTHospital,,,
109,World Health Organization,security forces hospital,K.K. Hospital & Kidney Center,Consorci Sociosanitari d'Igualada,,NextCell Pharma,Roivant Sciences,,,LDC Dental Public,,Dentadent D Hastanesi,Americare Home Health Services,,Triare,,,,,Erection Electromechanics Testing JSC,,,
110,Intercare,suncity s polyclinic,Shiang's International,Hospital Perpetuo Socorro,,Sprint Bioscience,76,,,Innotech Lab,,INNOVAD NV/SA,Coya Spa,,Andersen,,,,,Sum Pharma,,,
111,Respiratory Care Africa,viva medica ltd,Aspen Healthcare Services,Oftalvist,,AKRN Consulting,Santhera Pharmaceuticals,,,TheraVitae,,Kuzey Pharma,Dubai Healthcare City (DHCC),,UVIK Software,,,,,VINPHACO,,,
112,Direct Relief,0,Confi,Hospital Veterinario HA,,Cambrex,77,,,National Center for Genetic Engineering and Biotechnology,,INC Pharma,Arab Land Trading,,SSA Group,,,,,Anviet,,,
113,Comfort Care Homes,Al Yamamh Women's and Children's Hospital,National Institute for Health and Care Excellence,Hospital de Cerdanya,,Recipharm,Senn Chemicals,,,Unison Laboratories,,Genlab Laboratuvarlar Group,Golden Health,,Perpetio,,,,,Cai Lay Veterinary Pharmaceutical Joint Stock,,,
114,0,Integrated Gulf Biosystems (IGB),Aureus Medical Group,Baldo,,AOP Orphan Diseases,78,,,Asian Phytoceuticals Public,,Nanomik Biotechnology,Agfa-Gevaert Group,,CodeIT,,,,,MaNaDr,,,
115,Aspen Pharmacare,Agfa-Gevaert Group,LifeLong Medical Care,Inibsa,,PolyPeptide Group,Shield Therapeutics,,,A.N.B. Laboratories,,KAS Certification,RMSI,,0,,,,,Gedeon Richter Rep. Office in Vietnam,,,
116,Mediclinic Southern Africa,Dr. Al-Subaiti Medical Complex,0,Hospital Sant Joan de Deu - Palma,,AddBIO,79,,,Bangkok Hospital Udon,,Sanovel Pharmaceuticals,Child Early Intervention Medical Center,,Sandoz,,,,,Gralimex,,,
117,Life Healthcare,Arrazi Clinics,Allium Healthcare,Boston Medical Group España,,Abliva,Sigma-Aldrich,,,Cryo Stem Cell Thailand,,A Pharma Health Products,,,Spectrum Info,,,,,"BIO-TECHEM CO., LTD",,,
118,Netcare,Topmed,Jaga-Me,Medicina Tradicional China,,Active Biotech,80,,,Green Innovative Biotechnology,,Us Psikiyatri Enstitüsü,,,DOC.ua UBC,,,,,Vabiotech,,,
119,Western Cape Government,Arabian Medical Marketing Company (AMCO),OPTAVIA,0,,Alligator Bioscience,Symetis,,,LNW,,Pulcuoglu Medikal,0,,Sana Stem Cell,,,,,Nha Khoa Uy Tn,,,
120,ascendishealth.com,Hill-Rom,blisscare health,International SOS,,AnaMar Medical,81,,,Biopharm,,Uzman Klinik Psikolog Betül Demir,Other related lists:,,UkrPharmExport,,,,,Thien Duoc,,,
121,Adcock Ingram South Africa,Al Faisaliah Medical Systems (FMS),HMI Group (Singapore),Hospiten,,Asgard Therapeutics,TE Connectivity,,,Unique Access Medical,,BioGen Medical Instruments,British Medical Consulting Centre Dubai - BMCC,,MedExpert,,,,,VIMEC,,,
122,Roche SA,Stryker,Cordlife,King's Medical Group,,Bioextrax,82,,,0,,Relaks SPA Wellness,The Health Medical Services LLC,,Tarus Laser Eye Center,,,,,Nha Khoa Nhân Tâm,,,
123,PathCare,Mindray,Private,Sola Optical,,BioInvent International,Teleflex Medical,,,"A.N.B. Laboratories Co., Ltd.",,0,American Center for Psychiatry and Neuorolgy,,Esteva Clinic,,,,,Pharmacity,,,
124,United Pharmaceutical Distributors,DaVita - KRT Marketing,Napier Healthcare,Optical Express,,Bonesupport,83,,,"Advance Pharmaceutical Manufacturing Co., Ltd",,Özel zmir Dent Az ve Di Sal Poliklinii,Operamed,,Innovo,,,,,DHG Pharmaceutical Joint Stock Company,,,
125,Ampath,DaVita - VONQ,United Veterinary Clinic,Helping Hands Home Care,,Camurus,UBC,,,Bangkok Drug Co Ltd,,Health n Globe,Austin May Associates,,MHD Clinic,,,,,Ha Tay Pharmaceutical Joint Stock,,,
126,NHLS,Synergy Pharma,Alexandra Hospital,URGO,,CanImGuide Therapeutics,84,,,"Biolab Co., Ltd",,Guard Spirit,Livity Consulting,,LELEKA Maternity Hospital,,,,,DOHAPHARMA CO.,,,
127,Life-Assist,Beauty Clinics Company,0,Ambu,,Cantargia,Vectura,,,Cosma Medical Co. Ltd,,Egypt Assistance,Dentsply Sirona,,Engin Dental Laboratory,,,,,Brawn Laboratories,,,
128,BESTmed Medical Scheme,Lamssa Clinic,Northside Hospital,MBA,,Carbiotix,85,,,S Charoen Bhaesaj Trading Co Ltd (Importer/Distributor),,Redoks Lab,NewME,,Medical center Vivamed,,,,,PYMEPHARCO,,,
129,Austell Laboratories,IMS Health,NewYork-Presbyterian Hospital,Tatch,,CombiGene,Vifor Pharma,,,"2 M (Med-MaKer) Co.,Ltd.",,Özel YeniDi Az ve Di Sal Merkezi,Cerner,,Kozyavkin International Rehabilitation Clinic,,,,,Nht Tr Pharma,,,
130,CareCross Health,Adult and Child Therapy Center (ACT Center),Johns Hopkins Medicine,,,Diaprost,86,,,Acdhon Company Limited,,Dr Seyfi Akbay,Kabak for Optics,,Grace,,,,,Domesco Medical Import Export Joint Stock,,,
131,Medhold Medical,Tameer Specialized Systems Co. (TASCO),Tampa General Hospital,,,DIGNITANA,Ypsomed,,,"Advance Pharma Co., Ltd.",,Göztepe Balks Hayati,Al Zahra Hospital,,Medical Center "Mother and Child,,,,,Mundipharma,,,
132,Dr. WJH Vermaak,Andalusia Group for Medical Services - Saudi Arabia,Ascension Seton,,,Follicum,86,,,Aerocare Co Ltd,,Bilim Pharmaceuticals,Intuit Micro Technology,,Isida,,,,,Eurofins Viet Nam,,,
133,NHC,Baxter Company Limited - The Olayan Group,Springfield Clinic,,,Genovis,Ypsomed,,,ASIAN PHARMACEUTICAL THAILAND LTD,,Pendent Az ve Di Sal Poliklinii,Inclusion Services,,MG Dental,,,,,Kim Dental,,,
134,Immuno-Vet Services,Bakery Basket,CHRISTUS Health,,,Guard Therapeutics,87,,,Atlantic Laboratories Corp.Ltd.,,Meltem Hastanesi,InHouse Physicians,,Medical Centers Medisvit,,,,,OPC Pharmaceutical Join-Stock,,,
135,0,Gulf Bio Analytical (GBA),Home Instead,,,HAMLET Pharma,Celerion,,,B L Hua & Co Ltd,,Vem,Halza Software Solution,,Medissa Clinic,,,,,Nanogen Pharmaceutical Biotechnology,,,
136,Food Chain Laboratories,Al Amin Medical Instruments Company (AMICO),Chong Hua Hospital,,,Hansa Biopharma,0,,,B.M. Pharmacy L.P,,Genz Biotech,Vienna Dental Clinic,,0,,,,,Ben Tre Pharmaceutical JSC,,,
137,OnShelf Pharma,King Fahad Specialist Hospital Dammam (KFSHD),Ascension,,,Iconovo,Roivant Sciences,,,"Bangkok Lab & Cosmetic Co., Ltd.",,mediSMART,Marina Pharmacy,,Binary Studio,,,,,VietValues,,,
138,Netcells,,0,,,Idogen,ADC Therapeutics,,,Bara Pharmaceutical Co Ltd,,Centurion Pharma,La Poupee Beauty Center,,UVIK Software,,,,,Jade Spa,,,
139,Rolfes Agri,,Cleveland Clinic,,,Immunovia,Sophia Genetics,,,"Berlin Pharmaceutical Industry Co., Ltd.",,Impladent Agiz Ve Dis Sagligi Poliklinigi,U.S Experience Home Health Care,,Artelogic,,,,,Vando.vn - Thin ng Ph Kin,,,
140,River Bioscience,,Ministry of Health,,,In2cure,MindMaze,,,"Bertram Chemical (1982) Co., Ltd.",,KONSINA Pharmaceuticals,Pharmascience Inc.,,Honeycomb Software,,,,,American Vietnamese Biotech Incorporation,,,
141,Intamed,,Demant,,,Innovagen,Therachon,,,"Better Pharma Co., Ltd.",,Turmeda,Salwaty Home Health Care,,Lvivity,,,,,Nha Khoa Uy Tn Hàng u,,,
142,Rayer Healthcare,,Sysmex,,,Klifo,Arvelle Therapeutics,,,Biogenetech Co Ltd (Pharma Importer/Distributor),,TRPHARM,Eureka Home Health Care,,MLSDev,,,,,Lamdong Pharmaceutical JSC,,,
143,Metropolis Pathology Laboratories,,University of Mississippi Medical Center,,,Oncorena,Genkyotex,,,"Biomedia Thailand Co., Ltd",,Dolsan,Integrated Pharma Solutions,,Sirin Software,,,,,Cng Ty TNHH TM DV TB XD Tn Kin To,,,
144,Akili Labs,,Advisory Board,,,Pharmiva,Ava,,,Biopharm Chemicals Co Ltd,,0,Beast Mode Nutrition,,Future Processing,,,,,Bidiphar,,El Shalom Clinic,
145,Brakecore Supply,,B. Braun,,,Qlucore,NBE Therapeutics,,,"Burapha Osoth Co., Ltd",,Allergan,,,Romexsoft,,,,,Phng Khm Sn Ph Khoa Ana,,Victoria Hospital,
146,African NDT Centre,,Olympus Corporation of the Americas,,,ReceptorPharma,Prexton Therapeutics,,,"Chankit Trading Co.,Ltd",,AbbVie,,,Computools,,,,,ITS GROUP. All Rights Reserved,,Mazabuka Medical Clinic,
147,Cyanre,,UnitedHealth Group,,,Redoxis, Advertise your startup,,,"Charoen Bhaesaj Lab Co.,Ltd",,Takeda Pharmaceuticals,0,,ElifTech,,,,,TNT Medical,,Mazabuka General Hospital,
148,V & M Analytical Toxicology Laboratory Services,,Guardian Pharmacy,,,Respiratorius,Sensimed,,,"COX Laboratories (Thailand) Ltd.,Part",,Astellas,Al Wajaha Healthcare Services,,IT Svit,,,,,CTHospital,,Sunbird Opticians,
149,Grobir Medical Suppliers,,0,,,RhoVac,GeNeuro,,,"Exeltis (Thailand) Co., Ltd.",,Covance,Bangalore Medical Center,,Cyber Craft,,,,,Erection Electromechanics Testing JSC,,DR SHAFIK HOSPITAL,
150,Grassroots Group,,Stasis,,,SAGA Diagnostics,aktiia,,,F.C.P. Company Limited,,Sandoz International,Lifeline Hospital,,Technorely,,,,,Sum Pharma,,Royal Professionals medical,
151,Specpharm,,CoreLife,,,SenzaGen,ProteoMediX,,,"Forty-Two Siam Medicare Co., Ltd.",,Gilead Sciences,Shaheen Medical Center,,Intersog,,,,,VINPHACO,,Mukuni Medical Centre,
152,Key Oncologics,,The Pet Doctors Veterinary Clinic,,,Sinntaxis,regenHU,,,Greater Pharma Company Limited,,Perrigo,al ain fertility centre,,WTT Solutions,,,,,Anviet,,Livingstone General Hospital,
153,Novagen Pharma,,Access Health,,,SOLVE Research & Consultancy,1Drop Diagnostics,,,Harn Thai Pharma (2508) Co Ltd,,Alcon,al madina medical centers,,Fresh Design Agency,,,,,Cai Lay Veterinary Pharmaceutical Joint Stock,,Health & Glow Pharmacy,
154,Graviti Pharmaceuticals Pvt,,Hometeam,,,Spago Nanomedical,Memo Therapeutics,,,Interthai Pharmaceutical Manufacturing Ltd.,,Syneos Health,al rayyan medical centre,,Magicforce,,,,,MaNaDr,,Maamba District Hospital,
155,Photizo Wellness,,My Personal Health Record eXpress,,,TFS,Versantis,,,JSP Pharmaceutical Manufacturing Co Ltd,,0,al shifa al khaleeji medical centre,,Fulcrum Rocks,,,,,Gedeon Richter Rep. Office in Vietnam,,Olive Medi Clinic,
156,0,,Innovaccer,,,Xinnate,Vivior,,,L.B.S. Laboratory Limited,,PerkinElmer,al zahrawi hospital,,FiduciaSoft,,,,,Gralimex,,Dr. Jain Surgery,
157,Gulf Drug,,,,,Xintela,ReHaptix,,,New Charoen Pharmaceutical L.P.,,Eczacibasi Pharmaceuticals,americare,,Triare,,,,,"BIO-TECHEM CO., LTD",,Choma General Hospital,
158,Mintek,,,,,Ziccum,SNAQ,,,"New Life Pharma Co., Ltd.",,Pfizer Limited,anglo arabian healthcare,,DIGIS,,,,,Vabiotech,,Tusekelemo Community Clinic,
159,IQ Green Solutions,,,,,2A Pharma,sublimd,,,Novatech Healthcare Co Ltd,,Sanovel,arabian healthcare group llc,,Symphony Solutions,,,,,Nha Khoa Uy Tn,,Mukowa Pharmacy,
160,Clinix Health Group,,,,,Abarceo Pharma,The Swiss Clinic,,,OLIC (Thailand) Limited,,bioMérieux,arable investment llc,,Sigma Software,,,,,Thien Duoc,,Mukuni Insurance Clinics,
161,RBI Tech,,,,,Acarix,OnlineDoctor,,,Onimax Co. Ltd,,Lundbeck,asia medical center,,0,,,,,VIMEC,,Kabwe Mine Hospital,
162,Pfizer Laboratories (Pty,,,,,Acarix,0,,,"Osoth Inter Laboratories Co., Ltd.",,Zoetis,aster dm healthcare,,RexSoft,,,,,Nha Khoa Nhân Tâm,,Kabwe Medical Consultation Centre,
163,Biodelta,,,,,Aptahem,Salt of Life International,,,Pacific Healthcare (Thailand) Co.Ltd,,Galderma,atlas medical,,AVAcodes,,,,,,,Kabwe General Hospital,
164,Health Professionals Group,,,,,Ascelia Pharma,Aquarelle Wellness- und Gesundheitszentrum,,,Pandrugs Company Limited (Importer /Distributor),,Bausch + Lomb,australian medical center,,OporaSolutions,,,,,,,Kamoto Mission Hospital,
165,Mundipharma,,,,,Cyxone,R-Action Distribution,,,"Pharma Innova Co., Ltd.",,Biocodex,axon medica,,Cyber Craft,,,,,,,St. Francis Mission Hospital,
166,Centre for Diabetes & Endocrinology,,,,,DanPET,Fulandis International,,,Pharmacare Limited,,,bayti home healthcare,,Perpetio,,,,,,,EJIS Professional Clinic,
167,Lazaron Biotechnologies (SA,,,,,Gabather,No Limits for Wellness Sagl,,,Pharmaland (1982) Co Ltd,,,bin ali medical supplies,,Fresh Design Agency,,,,,,,Chipata HealthCare,
168,Deltamune,,,,,Laboratorio Reig Jofre,Ophthorobotics,,,Pharmasant Laboratories Co Ltd,,,care direct middle east,,Intersog,,,,,,,Chipata General Hospital,
169,Respiratory Care Africa (RCA,,,,,Pila Pharma,pregnolia,,,PKFB Pharmaceutical Manufacturing,,,ccmc,,Romexsoft,,,,,,,Fort Jameson Infirmary,
170,Santos Haven,,,,,Svar Life Science,MedTechTrade,,,"Polipharm Co., Ltd.",,,cleveland clinic abu dhabi,,Diversido,,,,,,,Mwami Adventist Hospital,
171,Biovac,,,,,WntResearch,Oase-der-ruhe.ch,,,"Premier Pharma Supply Co.,Ltd.",,,cosmetic care medical centre,,JetRuby Agency,,,,,,,Kayiwale Care and Cure,
172,Relapse Prevention,,,,,Cobra Biologics,EMAGine,,,"RX manufacturing Co.,Ltd, R.X. Company Limited",,,dermahealth,,Fulcrum Rocks,,,,,,,Lundazi District Hospital,
173,Worcester Radiology,,,,,Cobra Biologics,Ticino Health,,,S M Pharmaceutical Co Ltd (Importer/Distributor),,,dmetco home health care llc,,ORIL,,,,,,,Chitokoloki Mission Hospital,
174,The Methodist Homes Annual Report,,,,,Cellectricon,IMP Innovative Medical Products,,,"Siam Bioscience Co., Ltd.",,,dr sunny medical centre,,PNN Soft,,,,,,,Zambezi District Hospital,
175,The Hospital Dietitians Interest Group,,,,,Cereno Scientific,Phoenix Technical Industries,,,"Silom Medical Co., Ltd.",,,elite style polyclinic,,Volpis,,,,,,,Bumi Clinic,
176,De Necker Dentistry Gallery,,,,,CFM Pharma,Hélios Handicap,,,Siribuncha Corporation Ltd,,,fakih ivf,,CodeIT,,,,,,,Sunbird Opticians,
177,,,,,,Cinclus Pharma,Heinz Stampfli,,,"Sriprasit Pharma Co., Ltd.",,,gulf diagnostic center hospital,,Noltic,,,,,,,St. Johns Medical Centre,
178,,,,,,Ectin Research,Beda's-Wellness,,,T.Man Pharmaceutical Compnay Limited,,,hanover medical services,,SoftFormance,,,,,,,Solwezi General Hospital,
179,,,,,,Vicore Pharma,Medwork,,,"T.O. Chemicals (1979) Co., Ltd.",,,health mart,,UVIK Software,,,,,,,Hilltop Hospital,
180,,,,,,Anocca,BITmedical,,,"Thai Nakorn Patana Co., Ltd.",,,ibc medical service,,SSA Group,,,,,,,Kasama General Hospital,
181,,,,,,Nanologica,Electrostimulateur,,,"THAINAOKA PHARMACEUTICAL CO.,LTD.,",,,ideal medical centre,,Brainence,,,,,,,Hilltop Hospital Kasama,
182,,,,,,Offpspring Bioscience,KB Medizin Technik,,,"Thaipharmed 1942 Co., Ltd.",,,imdad,,QArea,,,,,,,Home of Compassion Hospital,
183,,,,,,Pfizer,0,,,"The British Dispensary (L.P.)Co.,Ltd",,,jumeirah terrace speciality medical centre,,MLSDev,,,,,,,Mansa General Hospital,
184,,,,,,Sensidose,Chemex Trading,,,"The Medicpharma Co., Ltd.",,,life healthcare group,,DarinX,,,,,,,Malcom Watson Hospital,
185,,,,,,Abera Bioscience,Avance Medical,,,Union Medical (Thailand) Co Ltd,,,medeor hospital,,ElifTech,,,,,,,Roan General Hospital,
186,,,,,,Affibody,MP Orga Pohlodek,,,"Unison Laboratories Co., Ltd.",,,mediclinic city hospital,,0,,,,,,,CNMC Luanshya Mine Hospital,
187,,,,,,Aprea Therapeutics,ORmP,,,Vesco Pharmaceutical Co Ltd,,,medstar healthcare llc,,Mind Studios,,,,,,,Dr. Bhatt?s Medical Center,
188,,,,,,Asarina Pharma,Youdowell,,,"Vidhyasom Co., Ltd",,,nihon kohden,,Active Bridge,,,,,,,Nchanga North General Hospital,
189,,,,,,AttgeNO,Plus Surgical,,,,,,operamed fz llc,,SEOTM,,,,,,,African Medicare Services,
190,,,,,,Biopromic,Bespoke nutri-sport,,,,,,ph diagonistic centre,,RockLab,,,,,,,Nchanga South (KCM Hospital),
191,,,,,,Dilafor,Winther Medical,,,,,,pimex medical equipments llc,,Rademade,,,,,,,Konkola Copper Mine Hospital,
192,,,,,,Empros Pharma,Synmedic,,,,,,prime healthcare group,,UTOR,,,,,,,Tokyo OPTICIANS,
193,,,,,,Eurocine Vaccines,Swiss Mobility Services,,,,,,pure health,,Agilites,,,,,,,Sunbird OPTICIANS,
194,,,,,,Genagon Therapeutics,MEDITEC,,,,,,pyramids health services,,Frontmen,,,,,,,Health View Medical Services,
195,,,,,,Gesynta Pharma,BS Backup Suisse,,,,,,rak hospital,,Facility,,,,,,,Mary Begg Community Clinic,
196,,,,,,Kancera,Freemark Enterprises,,,,,,rochester wellness centre,,Sparkle Design,,,,,,,Chinan Clinic,
197,,,,,,Lipidor,MIKAJAKI,,,,,,shalina healthcare,,Yellow Leaf Technologies,,,,,,,Telnor Medical Clinic,
198,,,,,,Pelago Bioscience,Carpediem - Massages wellness,,,,,,super religare laboratories international,,Zfort Group,,,,,,,Arthur Davison Children?s Hospital,
199,,,,,,Promore Pharma,Ortho Medica,,,,,,tawam hospital,,SoftRize,,,,,,,Ndola Central Hospital,
